wmask fmask
4809.940365 0.21
4810.535331 0.641
4812.341383000001 0.306
4813.48076 0.416
4814.296275000001 0.129
4814.599828 0.185
4815.240008000001 0.145
4815.933168 0.17
4816.687037 0.033
4817.804182 0.491
4820.409358 0.415
4821.0447 0.094
4822.576322000001 0.115
4823.511852 0.858
4824.140026 0.637
4827.45969 0.143
4829.026 0.665
4831.178855 0.633
4831.652229 0.221
4832.715174 0.599
4833.188456 0.132
4833.832721000001 0.101
4834.515362 0.364
4835.871454 0.493
4836.236272 0.314
4836.854343 0.169
4838.092633 0.139
4838.522829 0.529
4839.54974 0.611
4839.871282 0.133
4839.98571 0.11
4840.295937 0.626
4840.880994 0.636
4841.786588 0.29
4842.785116 0.437
4843.149959 0.632
4843.497794 0.231
4844.020598 0.461
4844.873704 0.03
4770.00172 0.109
4771.091132 0.192
4772.8213080000005 0.764
4773.416738 0.203
4775.8819189999995 0.133
4776.360357 0.346
4779.441387 0.441
4779.98273 0.616
4780.811808 0.104
4783.422901 0.87
4785.958105 0.295
4787.830712999999 0.411
4788.760123 0.615
4790.337287 0.152
4790.74381 0.107
4791.237978 0.388
4792.502606 0.491
4793.970445 0.097
4794.359045 0.13
4796.208219 0.209
4798.267614 0.45
4798.534462 0.441
4798.734834 0.346
4799.4101630000005 0.384
4799.809825 0.431
4800.648277 0.544
4801.0293249999995 0.479
4802.884069 0.593
4804.51745 0.236
4729.682384 0.396
4729.812355 0.108
4730.035129 0.51
4730.716490999999 0.483
4731.471944999999 0.66
4731.8027870000005 0.449
4732.4597140000005 0.44
4733.197136 0.033
4733.423516999999 0.144
4733.5944930000005 0.765
4734.100722 0.33
4735.846474 0.588
4736.77999 0.813
4737.3507979999995 0.508
4737.6352019999995 0.37
4738.402913 0.031
4739.10589 0.545
4740.338739000001 0.381
4741.059313 0.367
4741.532763 0.681
4742.295014 0.133
4742.79349 0.34
4744.643236 0.078
4744.86003 0.095
4745.135394999999 0.164
4745.8022550000005 0.663
4749.949184 0.346
4754.040204 0.863
4754.759567 0.447
4755.265015 0.075
4755.705457 0.28
4756.116395999999 0.588
4756.5173030000005 0.672
4757.581539000001 0.573
4758.12297 0.464
4759.2729469999995 0.489
4761.523935 0.637
4762.374368999999 0.803
4762.627277 0.517
4763.916851 0.664
4764.296525 0.289
4691.395506 0.748
4693.195618 0.193
4693.943196 0.28
4694.1110690000005 0.147
4695.449892000001 0.103
4696.276329 0.106
4696.938898 0.119
4697.0529750000005 0.335
4698.4453300000005 0.528
4700.155865000001 0.529
4700.6106 0.195
4701.0535899999995 0.438
4701.3570469999995 0.43
4701.530391 0.503
4702.995996 0.853
4703.806897 0.556
4704.951788 0.62
4705.464459000001 0.386
4705.913895 0.141
4706.299832000001 0.107
4706.552978 0.334
4708.013573 0.538
4708.666445 0.513
4709.077586 0.623
4709.713325999999 0.634
4710.27603 0.713
4712.074057 0.352
4713.175127 0.133
4714.415615 0.808
4715.765912999999 0.656
4718.423215999999 0.581
4719.516766000001 0.144
4720.992806 0.478
4722.160204 0.623
4722.6102200000005 0.211
4723.1339530000005 0.278
4724.406574000001 0.267
4653.482613 0.129
4654.517773 0.841
4658.862824 0.086
4661.976643 0.495
4662.507380999999 0.107
4662.75601 0.163
4663.378702 0.366
4664.789232 0.525
4666.17743 0.32
4666.753693000001 0.503
4668.119606 0.79
4668.567596 0.427
4670.409511 0.601
4672.8363659999995 0.356
4673.174207 0.654
4674.744622 0.209
4675.110028 0.371
4675.604932 0.187
4677.593258000001 0.184
4678.849228 0.77
4679.221605000001 0.506
4680.1379369999995 0.475
4680.2960490000005 0.485
4680.483883 0.456
4680.85591 0.294
4681.9142090000005 0.721
